image_type,min_quality,max_quality,colors,speed,dither,posterize,runtime_ms,compression_ratio,quality_ok
scatter,30,100,128,8,0.0,2,16.621833,2.4232673267326734,true
scatter,30,100,128,8,0.0,3,16.33575,2.743461277173913,true
scatter,30,100,128,8,0.0,4,15.846791999999999,3.1256772445820435,true
scatter,30,100,128,8,0.5,0,19.248,2.372549019607843,true
scatter,30,100,128,8,0.5,1,19.517375,2.3533653846153846,true
scatter,30,100,128,8,0.5,2,20.234375,1.3744735162731334,true
scatter,30,100,128,8,0.5,3,19.340542,1.3706830717013152,true
scatter,30,100,128,8,0.5,4,18.737125,1.4514781202264355,true
scatter,30,100,128,8,1.0,0,21.010458,2.332130224500108,true
scatter,30,100,128,8,1.0,1,20.360666,2.134870812132426,true
scatter,30,100,128,8,1.0,2,19.710625,1.1276046211301525,true
scatter,30,100,128,8,1.0,3,19.280084,1.2708784076157507,true
scatter,30,100,128,8,1.0,4,20.144833000000002,1.401787651321213,true
scatter,30,100,128,10,0.0,0,16.42025,2.4528889226330577,true
scatter,30,100,128,10,0.0,1,16.739666,2.4452770208901,true
scatter,30,100,128,10,0.0,2,16.518709,2.4232673267326734,true
scatter,30,100,128,10,0.0,3,16.573207999999997,2.743461277173913,true
scatter,30,100,128,10,0.0,4,15.869542000000001,3.1256772445820435,true
scatter,30,100,128,10,0.5,0,19.44175,2.372549019607843,true
scatter,30,100,128,10,0.5,1,18.936208,2.3533653846153846,true
scatter,30,100,128,10,0.5,2,19.003208,1.3744735162731334,true
scatter,30,100,128,10,0.5,3,18.811999999999998,1.3706830717013152,true
scatter,30,100,128,10,0.5,4,19.07825,1.4514781202264355,true
scatter,30,100,128,10,1.0,0,18.968459,2.332130224500108,true
scatter,30,100,128,10,1.0,1,19.217042,2.134870812132426,true
scatter,30,100,128,10,1.0,2,19.835083,1.1276046211301525,true
scatter,30,100,128,10,1.0,3,19.272709,1.2708784076157507,true
scatter,30,100,128,10,1.0,4,19.81325,1.401787651321213,true
scatter,30,100,256,1,0.0,0,29.820958,2.266998807101256,true
scatter,30,100,256,1,0.0,1,30.275875,2.2543437303747123,true
scatter,30,100,256,1,0.0,2,27.530375,2.3943526272882236,true
scatter,30,100,256,1,0.0,3,24.594542,2.738345482285133,true
scatter,30,100,256,1,0.0,4,24.0265,3.1187373298580945,true
scatter,30,100,256,1,0.5,0,42.534083,2.255130531900042,true
scatter,30,100,256,1,0.5,1,41.934167,2.244476865360567,true
scatter,30,100,256,1,0.5,2,41.321625,1.5044004656577417,true
scatter,30,100,256,1,0.5,3,55.777167000000006,1.55621387283237,true
scatter,30,100,256,1,0.5,4,38.2705,1.604200804409355,true
scatter,30,100,256,1,1.0,0,43.35875,2.229145104533223,true
scatter,30,100,256,1,1.0,1,44.851334,2.0657970458469213,true
scatter,30,100,256,1,1.0,2,41.292084,1.3882944437282454,true
scatter,30,100,256,1,1.0,3,53.855582999999996,1.4361858190709047,true
scatter,30,100,256,1,1.0,4,37.796084,1.5597450876261285,true
